CMUN;Municipio;Total;0 a 4;5 a 9;10 a 14;15 a 19;20 a 24;25 a 29;30 a 34;35 a 39;40 a 44;45 a 49;50 a 54;55 a 59;60 a 64;65 a 69;70 a 74;75 a 79;80 a 84;85 a 89;90 a 94;95 a 99;100 o más
0;Total;6726640;290560;338962;362016;343392;343407;387448;424929;488182;575928;580775;520504;464749;394464;322177;291907;231947;166840;123491;57870;15211;1881
1;Acebeda (La);55;0;1;1;1;1;0;2;2;1;4;4;4;7;10;8;2;1;4;1;1;0
2;Ajalvir;4793;198;238;316;272;211;253;317;436;493;576;421;339;203;148;140;90;66;46;23;6;1
3;Alameda del Valle;248;10;14;9;8;6;6;10;11;21;17;31;30;24;10;15;11;7;5;3;0;0
4;Álamo (El);9946;477;554;648;592;505;526;535;699;846;868;834;610;497;411;351;313;242;235;147;54;2
5;Alcalá de Henares;195570;7791;8996;10800;10511;10106;10459;11578;13792;16456;17716;15744;13297;12047;10574;9452;7069;4675;2907;1234;328;38
6;Alcobendas;116895;5128;6741;7050;6527;6417;6613;6857;8233;10269;10631;8874;7801;6054;5428;5723;4039;2279;1409;625;177;20
7;Alcorcón;171575;6904;8431;9129;9157;7963;7538;8320;11308;15184;16726;13851;10510;8061;8484;10759;9518;5408;2866;1104;318;36
8;Aldea del Fresno;3078;165;163;175;148;120;146;207;232;267;257;228;205;178;166;128;108;82;74;19;8;2
9;Algete;20704;843;1098;1414;1511;1386;1101;1081;1265;1610;1886;1729;1665;1358;908;649;474;341;240;115;28;2
10;Alpedrete;15178;527;819;1141;1079;903;716;670;772;1243;1667;1521;1202;805;568;479;450;308;169;106;29;4
11;Ambite;663;28;23;31;31;25;23;34;46;59;69;68;58;30;32;23;28;23;23;8;1;0
12;Anchuelo;1365;79;88;81;72;55;72;95;112;150;128;91;76;85;53;41;32;26;12;12;5;0
13;Aranjuez;60156;2788;3418;3813;3374;3242;3149;3443;4128;5216;5245;4747;4041;3453;2724;2450;1982;1329;1015;472;117;10
14;Arganda del Rey;56315;2851;3538;3754;2953;2709;3057;3805;4600;5814;5283;4364;3466;3040;2333;1853;1243;795;512;267;69;9
15;Arroyomolinos;33757;2464;3283;2772;2080;1400;1158;1808;3273;4737;3645;2453;1476;1077;866;596;336;180;98;42;13;0
