geocodigo,distancia,codigo
0010101,67.854,CH0097
0020101,11.454,CH0104
0030101,42.647,CH0028
0040101,18.782,CH0032
0080101,31.81,CH0032
0080102,33.388,CH0032
0080301,34.535,CH0032
0080303,35.793,CH0032
0080304,35.214,CH0032
0080701,38.545,CH0032
0080702,36.675,CH0032
0090101,12.779,CH0097
0090501,9.865,CH0097
0090601,9.844,CH0097
0090801,10.275,CH0097
0091101,13.363,CH0097
0100101,15.24,CH0027
0101701,17.347,CH0027
0101801,14.152,CH0027
0110101,29.883,CH0100
0110201,30.97,CH0100
0120101,17.999,CH0104
0120201,19.247,CH0044
0150101,8.744,CH0032
0150201,5.967,CH0032
0150301,7.861,CH0032
0150302,5.641,CH0032
0150401,4.259,CH0032
0160101,64.443,CH0097
0170101,17.447,CH0098
0170301,12.74,CH0032
0170401,17.172,CH0098
0180101,14.292,CH0028
0180201,17.702,CH0028
0180301,18.018,CH0028
0180401,17.505,CH0028
0180601,13.118,CH0028
0190101,33.176,CH0100
0200101,64.482,CH0097
0210101,46.263,CH0097
0210201,46.922,CH0097
0210401,43.148,CH0097
0230101,19.233,CH0028
0230201,17.634,CH0028
0230301,15.464,CH0028
0230501,21.099,CH0028
0230601,17.604,CH0028
0230701,18.923,CH0028
0231101,18.868,CH0028
0240101,62.659,CH0097
0250101,41.172,CH0100
0250201,43.076,CH0100
0260101,16.387,CH0102
0260201,18.897,CH0032
0260301,14.729,CH0102
0270101,55.174,CH0097
0280101,44.184,CH0097
0280201,45.003,CH0025
0280701,42.232,CH0097
0280901,48.538,CH0097
0281301,42.446,CH0097
0281302,47.102,CH0097
0290101,35.058,CH0097
0290201,35.696,CH0097
0290301,37.56,CH0097
0300101,40.472,CH0097
0300201,42.024,CH0097
0300301,41.205,CH0097
0300701,40.07,CH0097
0310101,58.148,CH0027
0310501,60.78,CH0027
0320101,8.896,CH0044
0320301,5.966,CH0044
0320401,14.099,CH0044
0330101,10.962,CH0100
0330201,8.887,CH0100
0330301,14.724,CH0100
0340101,57.782,CH0028
0350101,29.417,CH0100
0360101,8.453,CH0098
0370102,67.568,CH0027
0370201,72.038,CH0027
0380101,6.48,CH0028
0380201,4.26,CH0028
0380301,15.433,CH0028
0380302,11.236,CH0028
0380601,0.893,CH0028
0380603,5.368,CH0028
0390101,59.195,CH0097
0400101,15.788,CH0099
0410101,13.04,CH0097
0410201,13.866,CH0097
0420101,29.783,CH0027
0420201,28.229,CH0027
0430201,29.162,CH0099
0430301,15.185,CH0099
0430401,19.946,CH0099
0431401,22.604,CH0099
0440101,16.501,CH0027
0460101,12.631,CH0028
0460201,15.227,CH0028
0460601,12.003,CH0028
0460701,12.709,CH0028
0480101,22.423,CH0104
0500101,9.32,CH0098
0500201,10.086,CH0098
0500301,14.513,CH0098
0500401,11.202,CH0098
0500501,7.433,CH0098
0500801,10.599,CH0098
0510101,35.43,CH0027
0510201,32.992,CH0027
0520101,25.757,CH0099
0520201,26.457,CH0099
0520301,24.4,CH0099
0520401,27.284,CH0099
0520601,20.736,CH0100
0520901,25.197,CH0100
0521101,22.875,CH0100
0530101,15.059,CH0104
0530201,18.234,CH0104
0530301,13.027,CH0104
0540101,8.434,CH0027
0540201,4.752,CH0027
0540401,4.867,CH0027
0540402,2.387,CH0027
0540601,17.109,CH0027
0540701,10.42,CH0027
0540801,7.628,CH0027
0550201,49.443,CH0100
0550202,48.608,CH0100
0550401,45.969,CH0100
0550402,44.236,CH0100
0550403,44.374,CH0100
0550404,43.901,CH0100
0560101,19.036,CH0027
0570102,21.157,CH0104
0570201,24.885,CH0104
0570202,27.621,CH0104
