geocodigo,tiempo,codigo
0010101,45.31666666666667,CH0097
0020101,12.75,CH0104
0030101,50.75,CH0097
0040101,19.25,CH0032
0080101,29.78333333333333,CH0032
0080102,32.53333333333333,CH0032
0080301,34.233333333333334,CH0032
0080303,37.41666666666666,CH0032
0080304,35.38333333333333,CH0032
0080701,38.88333333333333,CH0032
0080702,36.46666666666667,CH0032
0090101,17.233333333333334,CH0097
0090501,12.516666666666667,CH0097
0090601,13.016666666666667,CH0097
0090801,11.666666666666666,CH0097
0091101,19.966666666666665,CH0097
0100101,15.366666666666667,CH0027
0101701,16.683333333333334,CH0027
0101801,15.75,CH0027
0110101,32.85,CH0100
0110201,34.75,CH0100
0120101,19.766666666666666,CH0104
0120201,21.45,CH0044
0150101,13.3,CH0098
0150201,9.566666666666666,CH0032
0150301,17.3,CH0032
0150302,9.6,CH0032
0150401,8.15,CH0032
0160101,55.516666666666666,CH0097
0170101,15.716666666666669,CH0098
0170301,20.33333333333333,CH0098
0170401,15.65,CH0098
0180101,20.016666666666666,CH0028
0180201,22.0,CH0028
0180301,24.516666666666666,CH0028
0180401,21.78333333333333,CH0028
0180601,17.966666666666665,CH0028
0190101,24.5,CH0100
0200101,52.18333333333333,CH0097
0210101,34.166666666666664,CH0097
0210201,34.0,CH0097
0210401,29.216666666666665,CH0097
0230101,25.383333333333333,CH0028
0230201,21.8,CH0028
0230301,19.616666666666667,CH0028
0230501,25.2,CH0028
0230601,23.2,CH0028
0230701,25.016666666666666,CH0028
0231101,23.53333333333333,CH0028
0240101,42.2,CH0097
0250101,34.233333333333334,CH0100
0250201,37.45,CH0100
0260101,18.45,CH0102
0260201,20.9,CH0102
0260301,17.533333333333335,CH0102
0270101,36.23333333333333,CH0097
0280101,37.53333333333333,CH0097
0280201,40.03333333333333,CH0025
0280701,34.63333333333333,CH0097
0280901,38.46666666666667,CH0097
0281301,33.983333333333334,CH0097
0281302,37.516666666666666,CH0097
0290101,27.08333333333333,CH0097
0290201,28.55,CH0097
0290301,30.85,CH0097
0300101,30.383333333333333,CH0097
0300201,31.266666666666666,CH0097
0300301,29.1,CH0097
0300701,29.48333333333333,CH0097
0310101,59.05,CH0102
0310501,56.43333333333333,CH0102
0320101,13.983333333333333,CH0044
0320301,9.566666666666666,CH0044
0320401,17.55,CH0044
0330101,16.45,CH0100
0330201,13.016666666666667,CH0100
0330301,17.866666666666667,CH0100
0340101,43.88333333333333,CH0097
0350101,24.6,CH0100
0360101,8.366666666666667,CH0098
