DESCR,BUSCA,ETIQUETA,TIPOVIAL,NOMVIA,NUMERO,CMUN,UTM_X,UTM_Y,COD_VIAL,CODZBS,CODDISTR,CODAREA,TIPOCENTRO,URL,TIPON,MUNICIPIO,geometry
C.S. Carmen Calzado,"Centro de Salud Carmen Calzado Calle Carmen Calzado, 14. Alcalá de Henares",Centro de Salud Carmen Calzado,Calle,Carmen Calzado,14,005,468979,4481282,005A0150,030101,0301,03,CS,https://www.comunidad.madrid/centros/centro-salud-carmen-calzado,Centro de Salud,Alcalá de Henares,POINT (468979 4481282)
C.S. Juan de Austria,"Centro de Salud Juan de Austria Avenida Juan de Austria, 19. Alcalá de Henares",Centro de Salud Juan de Austria,Avenida,Juan de Austria,19,005,470297,4481952,005A0370,030107,0301,03,CS,https://www.comunidad.madrid/centros/centro-salud-juan-austria,Centro de Salud,Alcalá de Henares,POINT (470297 4481952)
C.S. La Garena,"Centro de Salud La Garena Calle Arturo Soria, 12. Alcalá de Henares",Centro de Salud La Garena,Calle,Arturo Soria,12,005,466617,4481245,00500730,030109,0301,03,CS,https://www.comunidad.madrid/centros/centro-salud-garena,Centro de Salud,Alcalá de Henares,POINT (466617 4481245)
C.S. Luis Vives,"Centro de Salud Luis Vives Calle Luis Vives, 16. Alcalá de Henares",Centro de Salud Luis Vives,Calle,Luis Vives,16,005,468796,4480551,005A0424,030104,0301,03,CS,https://www.comunidad.madrid/centros/centro-salud-luis-vives,Centro de Salud,Alcalá de Henares,POINT (468796 4480551)
C.S. Manuel Merino,"Centro de Salud Manuel Merino Calle Manuel Merino, 1. Alcalá de Henares",Centro de Salud Manuel Merino,Calle,Manuel Merino,1,005,469712,4481336,005A0441,030105,0301,03,CS,https://www.comunidad.madrid/centros/centro-salud-manuel-merino,Centro de Salud,Alcalá de Henares,POINT (469712 4481336)
C.S. María de Guzmán,"Centro de Salud María de Guzmán Calle Juan de Borgoña, 1. Alcalá de Henares",Centro de Salud María de Guzmán,Calle,Juan de Borgoña,1,005,469685,4482126,005A0371,030108,0301,03,CS,https://www.comunidad.madrid/centros/centro-salud-maria-guzman,Centro de Salud,Alcalá de Henares,POINT (469685 4482126)
C.S. Miguel de Cervantes/Espartales,"Centro de Salud Miguel de Cervantes/Espartales Avda. Gustavo Adolfo Becquer, 23. Alcalá de Henares",Centro de Salud Miguel de Cervantes/Espartales,Avda.,Gustavo Adolfo Becquer,23,005,468549,4484487,00592913,030109,0301,03,CS,https://www.comunidad.madrid/centros/centro-salud-miguel-cervantesespartales,Centro de Salud,Alcalá de Henares,POINT (468549 4484487)
C.S. Nuestra Señora del Pilar,"Centro de Salud Nuestra Señora del Pilar Calle Ntra. Sra. del Pilar, 12. Alcalá de Henares",Centro de Salud Nuestra Señora del Pilar,Calle,Ntra. Sra. del Pilar,12,005,468034,4480296,005A0501,030103,0301,03,CS,https://www.comunidad.madrid/centros/centro-salud-senora-pilar,Centro de Salud,Alcalá de Henares,POINT (468034 4480296)
C.S. Puerta de Madrid,"Centro de Salud Puerta de Madrid Avenida del Ejército, 61. Alcalá de Henares",Centro de Salud Puerta de Madrid,Avenida,del Ejército,61,005,467825,4480972,005A0232,030102,0301,03,CS,https://www.comunidad.madrid/centros/centro-salud-puerta-madrid,Centro de Salud,Alcalá de Henares,POINT (467825 4480972)
C.S. Reyes Magos,"Centro de Salud Reyes Magos Avenida de los Reyes Magos, 12. Alcalá de Henares",Centro de Salud Reyes Magos,Avenida,de los Reyes Magos,12,005,468053,4482500,005A0596,030109,0301,03,CS,https://www.comunidad.madrid/centros/centro-salud-reyes-magos,Centro de Salud,Alcalá de Henares,POINT (468053 4482500)
