Consultorio,Enlace Consultorio,Centro de Salud,Enlace Centro de Salud
Consultorio de La Acebeda,https://www.comunidad.madrid/centros/consultorio-acebeda,Centro de salud Buitrago de Lozoya,https://www.comunidad.madrid/centros/centro-salud-Buitrago-lozoya
Consultorio de Ajalvir,https://www.comunidad.madrid/centros/consultorio-ajalvir,Centro de salud Paracuellos de Jarama,https://www.comunidad.madrid/centros/centro-salud-paracuellos-jarama
Consultorio de Alameda del Valle,https://www.comunidad.madrid/centros/consultorio-alameda-valle,Centro de salud Rascafría,https://www.comunidad.madrid/centros/centro-salud-rascafria
Consultorio de El Álamo,https://www.comunidad.madrid/centros/consultorio-alamo,Centro de salud Navalcarnero,https://www.comunidad.madrid/centros/centro-salud-navalcarnero
Consultorio de Aldea del Fresno,https://www.comunidad.madrid/centros/consultorio-aldea-fresno,Centro de salud Villa del Prado,https://www.comunidad.madrid/centros/centro-salud-villa-prado
Consultorio de Santo Domingo,https://www.comunidad.madrid/centros/consultorio-santo-domingo,Centro de salud Algete,https://www.comunidad.madrid/centros/centro-salud-algete
Consultorio de Alpedrete,https://www.comunidad.madrid/centros/consultorio-alpedrete,Centro de salud Collado Villalba Estación,https://www.comunidad.madrid/centros/centro-salud-collado-villalba-estacion
Consultorio de Ambite,https://www.comunidad.madrid/centros/consultorio-ambite,Centro de salud Campo Real,https://www.comunidad.madrid/centros/centro-salud-campo-real
Consultorio de Anchuelo,https://www.comunidad.madrid/centros/consultorio-anchuelo,Centro de salud Torres de la Alameda,https://www.comunidad.madrid/centros/centro-salud-torres-alameda
Consultorio de La Poveda,https://www.comunidad.madrid/centros/consultorio-poveda,Centro de salud Arganda-Felicidad,https://www.comunidad.madrid/centros/centro-salud-arganda-felicidad
Consultorio de Arroyomolinos,https://www.comunidad.madrid/centros/consultorio-arroyomolinos,Centro de Salud Parque Coimbra,https://www.comunidad.madrid/centros/centro-salud-parque-coimbra
Consultorio de El Atazar,https://www.comunidad.madrid/centros/consultorio-atazar,Centro de Salud torrelaguna,No disponible
Consultorio de Batres,https://www.comunidad.madrid/centros/consultorio-batres,Centro de salud Griñón,https://www.comunidad.madrid/centros/centro-salud-gri%C3%B1%C3%B3n
Consultorio de Becerril de la Sierra,https://www.comunidad.madrid/centros/consultorio-becerril-sierra,Centro de salud Guadarrama,https://www.comunidad.madrid/centros/centro-salud-guadarrama
Consultorio de Belmonte de Tajo,https://www.comunidad.madrid/centros/consultorio-belmonte-tajo,Centro de salud Villarejo de Salvanés,https://www.comunidad.madrid/centros/centro-salud-villarejo-salvanes
Consultorio de Berzosa del Lozoya,https://www.comunidad.madrid/centros/consultorio-berzosa-lozoya,Centro de salud Buitrago de Lozoya,https://www.comunidad.madrid/centros/centro-salud-Buitrago-lozoya
Consultorio de El Berrueco,https://www.comunidad.madrid/centros/consultorio-berrueco,Centro de Salud La Cabrera,https://www.comunidad.madrid/centros/centro-salud-cabrera
Consultorio de Infante Don Luis de Borbón,https://www.comunidad.madrid/centros/consultorio-infante-don-luis-borbon,Centro de salud Condes de Barcelona,https://www.comunidad.madrid/centros/centro-salud-condes-barcelona
Consultorio de Cerceda,https://www.comunidad.madrid/centros/consultorio-cerceda,Centro de Salud Manzanares el Real,https://www.comunidad.madrid/centros/centro-salud-manzanares-real
Consultorio de Mataelpino,https://www.comunidad.madrid/centros/consultorio-mataelpino,Centro de Salud Manzanares el Real,https://www.comunidad.madrid/centros/centro-salud-manzanares-real
