nuc_id,geometry_nuc,hospital_id,geometry_hospital,distance,CDTNUCLEO,CMUN,CODIGO
"Acebeda, La",POINT (447546.0954070973 4548643.029605116),Hospital de La Fuenfría,POINT (409318 4512764),52427.97005281539,0010101,1,CH0028
Aguas de Riaza,POINT (409918.19330528664 4459594.367372378),Hospital Casaverde de Madrid,POINT (414487 4460030),4589.52834176963,0960401,96,CH0108
Aimayr,POINT (445993.6209031117 4453735.167921591),Hospital Infanta Elena,POINT (440618 4449992),6550.466104270483,1320401,132,CH0095
Ajalvir,POINT (459186.38854940713 4485562.380500987),Hospital Quirónsalud Valle del Henares,POINT (462638 4479586),6901.503133263326,0020101,2,
Alalpardo,POINT (459879.33319884376 4497668.018651133),Hospital Universitario Infanta Sofía,POINT (448317 4489868),13947.323756158867,1620101,162,CH0097
Alameda del Valle,POINT (428892.98801704025 4530181.450595404),Hospital de La Fuenfría,POINT (409318 4512764),26202.056047390804,0030101,3,CH0028
"Alameda y El Quejigal, La",POINT (492002.9747924008 4453578.18776218),Hospital Universitario del Sureste,POINT (461175 4460808),31664.399801591455,0250201,25,CH0100
Alamín,POINT (388812.91153604107 4454745.943833654),Hospital Virgen de La Poveda,POINT (391441 4456002),2912.8209810096996,1710101,171,CH0045
Alarilla,POINT (488685.3045975737 4436932.491944945),Hospital Universitario del Sureste,POINT (461175 4460808),36426.04485719334,0600201,60,CH0100
Alcamar,POINT (467258.338780599 4487045.226216615),Hospital Universitario Príncipe de Asturias,POINT (470500 4484537),4098.72738970086,0320301,32,CH0044
"Alcor, El",POINT (405746.46069428517 4488985.928883041),Hospital de El Escorial,POINT (405350 4495659),6684.838009563292,0540101,54,CH0027
Aldea del Fresno,POINT (398178.52830177086 4464146.181657052),Hospital Virgen de La Poveda,POINT (391441 4456002),10569.861989648689,0080101,8,CH0045
Alderete,POINT (408825.86242969794 4500783.135023085),Hospital Guadarrama,POINT (408177 4502667),1992.478281919017,0680601,68,CH0043
Algete,POINT (457588.24219354865 4494346.2583264),Hospital Universitario Infanta Sofía,POINT (448317 4489868),10296.15119592794,0090101,9,CH0097
"Almendros, Los",POINT (371304.2895142763 4458110.636407598),Hospital Virgen de La Poveda,POINT (391441 4456002),20246.81349460457,0370201,37,CH0045
Alpedrete,POINT (412673.7508733959 4501372.458859273),Hospital General de Villalba,POINT (415357 4500859),2731.9344566786244,0100101,10,CH0106
Ambite,POINT (484516.52849183703 4464260.366694398),HM Vallés,POINT (468864 4481428),23232.074412401864,0110101,11,CH0109
Anchuelo,POINT (477244.5312911524 4479588.887058901),Hospital Universitario Príncipe de Asturias,POINT (470500 4484537),8364.95810002708,0120101,12,CH0044
Aoslos,POINT (449789.6564530108 4544988.082571984),Hospital de La Fuenfría,POINT (409318 4512764),51733.41737848555,0700201,70,CH0028
Arco Iris,POINT (422855.5030139798 4470585.998937902),Hospital Rey Juan Carlos,POINT (426034 4465740),5795.390305776401,1810701,181,CH0105
"Arreturas, Las",POINT (441307.32379066775 4518816.446785857),Hospital Universitario Infanta Sofía,POINT (448317 4489868),29785.032010613504,0940201,94,CH0097
"Arroyadas, Las",POINT (429836.80625915655 4450565.259716274),Hospital Universitario Infanta Cristina,POINT (433368 4452286),3928.139045325231,0500501,50,CH0098
Arroyomolinos,POINT (422426.8517065508 4457794.336645919),Hospital  Universitario de Móstoles,POINT (425435 4463137),6131.313714891974,0150101,15,CH0032
"Arroyuelos, Los",POINT (417236.2052272526 4506558.404227815),Hospital General de Villalba,POINT (415357 4500859),6001.218279496667,0900301,90,CH0106
Asociación Deportivo - Cultural Daganzo,POINT (460455.5605361321 4490962.393670001),Hospital Quirónsalud Valle del Henares,POINT (462638 4479586),11583.841113736344,0530201,53,
"Asperilla, La",POINT (449216.0176338594 4525541.317702822),Hospital Universitario Infanta Sofía,POINT (448317 4489868),35684.64415729112,0300201,30,CH0097
Atalaya Real,POINT (448078.80088283285 4512554.452059008),Hospital Universitario Infanta Sofía,POINT (448317 4489868),22687.702524607812,1080101,108,CH0097
"Atazar, El",POINT (460331.26781586645 4531576.200255238),Hospital Universitario Infanta Sofía,POINT (448317 4489868),43404.10809684306,0160101,16,CH0097
"Avalón, El",POINT (457155.8650668454 4481401.286584131),Hospital Monográfico Asepeyo,POINT (454923 4476355),5518.214810599816,1040301,104,CH0042
Balcón de Tajo - Urtajo,POINT (457739.1178467726 4436089.085272296),Hospital Universitario del Tajo,POINT (447884 4434228),10029.306365075008,0430401,43,CH0099
"Barrancos, Los",POINT (404717.7514576212 4484747.250551513),Hospital de El Escorial,POINT (405350 4495659),10930.050971788181,0950201,95,CH0027
"Barrancos, Los",POINT (404717.7514576212 4484747.250551513),Hospital de El Escorial,POINT (405350 4495659),10930.050971788181,1220301,122,CH0027
"Barrizales, Los",POINT (411591.1355306008 4502143.992561267),Hospital Guadarrama,POINT (408177 4502667),3453.9626810782197,0460201,46,CH0043
Batres,POINT (421622.6130624 4451354.061940487),Hospital Casaverde de Madrid,POINT (414487 4460030),11233.382170513381,0170101,17,CH0108
Becerril de la Sierra,POINT (416146.4652308021 4506962.5501438575),Hospital General de Villalba,POINT (415357 4500859),6154.395153809033,0180101,18,CH0106
