nuc_id,geometry_nuc,hospital_id,geometry_hospital,distance,CDTNUCLEO,CMUN,CODIGO
"Acebeda, La",POINT (447546.0954070973 4548643.029605116),Hospital de La Fuenfría,POINT (409318 4512764),52427.97005281539,0010101,1,CH0028
"Acebeda, La",POINT (447546.0954070973 4548643.029605116),Hospital General de Villalba,POINT (415357 4500859),57614.67997333486,0010101,1,CH0106
"Acebeda, La",POINT (447546.0954070973 4548643.029605116),Hospital Universitario Infanta Sofía,POINT (448317 4489868),58780.08505415412,0010101,1,CH0097
"Acebeda, La",POINT (447546.0954070973 4548643.029605116),Hospital Guadarrama,POINT (408177 4502667),60528.67891688709,0010101,1,CH0043
"Acebeda, La",POINT (447546.0954070973 4548643.029605116),Hospital Casta Guadarrama,POINT (406611 4503728),60770.40332609769,0010101,1,CH0103
"Acebeda, La",POINT (447546.0954070973 4548643.029605116),Hospital Hestia Madrid,POINT (440600 4487873),61165.7153936022,0010101,1,CH0072
Aguas de Riaza,POINT (409918.19330528664 4459594.367372378),Hospital Casaverde de Madrid,POINT (414487 4460030),4589.52834176963,0960401,96,CH0108
Aguas de Riaza,POINT (409918.19330528664 4459594.367372378),Hospital los Madrońos,POINT (415240 4472549),14005.146661586601,0960401,96,CH0088
Aguas de Riaza,POINT (409918.19330528664 4459594.367372378),Hospital  Universitario de Móstoles,POINT (425435 4463137),15916.077906802133,0960401,96,CH0032
Aguas de Riaza,POINT (409918.19330528664 4459594.367372378),Hospital Rey Juan Carlos,POINT (426034 4465740),17247.841192887383,0960401,96,CH0105
Aguas de Riaza,POINT (409918.19330528664 4459594.367372378),HM Universitario Puerta del Sur,POINT (426897 4463003),17317.58219748167,0960401,96,CH0107
Aguas de Riaza,POINT (409918.19330528664 4459594.367372378),Hospital Virgen de La Poveda,POINT (391441 4456002),18823.17124660597,0960401,96,CH0045
Aimayr,POINT (445993.6209031117 4453735.167921591),Hospital Infanta Elena,POINT (440618 4449992),6550.466104270483,1320401,132,CH0095
Aimayr,POINT (445993.6209031117 4453735.167921591),Centro San Juan de Dios,POINT (447682 4445737),8174.430504736739,1320401,132,CH0004
Aimayr,POINT (445993.6209031117 4453735.167921591),Hnas.Hosp.Sgdo.Corazón de Jesús Comp.Asisten. Benito Menni,POINT (447288 4445263),8570.475280758383,1320401,132,CH0047
Aimayr,POINT (445993.6209031117 4453735.167921591),Hospital Universitario de Getafe,POINT (437027 4462726),12697.848317028947,1320401,132,CH0075
Aimayr,POINT (445993.6209031117 4453735.167921591),Hospital Universitario Infanta Cristina,POINT (433368 4452286),12708.516469441209,1320401,132,CH0098
Aimayr,POINT (445993.6209031117 4453735.167921591),Hospital Universitario Severo Ochoa,POINT (434640 4463626),15057.664719831791,1320401,132,CH0052
Ajalvir,POINT (459186.38854940713 4485562.380500987),Hospital Quirónsalud Valle del Henares,POINT (462638 4479586),6901.503133263326,0020101,2,
Ajalvir,POINT (459186.38854940713 4485562.380500987),Hospital Universitario de Torrejón,POINT (462980 4479426),7214.33666326745,0020101,2,CH0104
Ajalvir,POINT (459186.38854940713 4485562.380500987),Hospital Monográfico Asepeyo,POINT (454923 4476355),10146.543136121514,0020101,2,CH0042
Ajalvir,POINT (459186.38854940713 4485562.380500987),HM Vallés,POINT (468864 4481428),10523.747693459263,0020101,2,CH0109
Ajalvir,POINT (459186.38854940713 4485562.380500987),Hospital de Emergencias Enfermera Isabel Zendal,POINT (448562 4481662),11317.71178733821,0020101,2,
Ajalvir,POINT (459186.38854940713 4485562.380500987),Hospital Universitario Príncipe de Asturias,POINT (470500 4484537),11359.982800461928,0020101,2,CH0044
Alalpardo,POINT (459879.33319884376 4497668.018651133),Hospital Universitario Infanta Sofía,POINT (448317 4489868),13947.323756158867,1620101,162,CH0097
Alalpardo,POINT (459879.33319884376 4497668.018651133),Hospital Universitario Príncipe de Asturias,POINT (470500 4484537),16888.52314791307,1620101,162,CH0044
Alalpardo,POINT (459879.33319884376 4497668.018651133),Hospital Quirónsalud Valle del Henares,POINT (462638 4479586),18291.244928099833,1620101,162,
Alalpardo,POINT (459879.33319884376 4497668.018651133),Hospital Universitario de Torrejón,POINT (462980 4479426),18503.65853230359,1620101,162,CH0104
Alalpardo,POINT (459879.33319884376 4497668.018651133),HM Vallés,POINT (468864 4481428),18559.69944037241,1620101,162,CH0109
Alalpardo,POINT (459879.33319884376 4497668.018651133),Hospital de Emergencias Enfermera Isabel Zendal,POINT (448562 4481662),19602.924878550177,1620101,162,
Alameda del Valle,POINT (428892.98801704025 4530181.450595404),Hospital de La Fuenfría,POINT (409318 4512764),26202.056047390804,0030101,3,CH0028
Alameda del Valle,POINT (428892.98801704025 4530181.450595404),Hospital General de Villalba,POINT (415357 4500859),32295.96074615782,0030101,3,CH0106
Alameda del Valle,POINT (428892.98801704025 4530181.450595404),Hospital Guadarrama,POINT (408177 4502667),34441.21297354499,0030101,3,CH0043
Alameda del Valle,POINT (428892.98801704025 4530181.450595404),Hospital Casta Guadarrama,POINT (406611 4503728),34587.16580460166,0030101,3,CH0103
Alameda del Valle,POINT (428892.98801704025 4530181.450595404),Hospital Universitario HM Torrelodones,POINT (421655 4491526),39327.246677952666,0030101,3,CH0087
